Date,Open,High,Low,Close
2023-01-03,0.2538,0.25506,0.25055,0.2528
2023-01-04,0.2528,0.26956,0.25224,0.26768
2023-01-05,0.26769,0.27025,0.26406,0.2691
2023-01-06,0.26909,0.27936,0.26814,0.27865
2023-01-07,0.27866,0.28002,0.27277,0.27711
2023-01-08,0.27703,0.29522,0.27498,0.29522
2023-01-09,0.29541,0.34088,0.29541,0.3171
2023-01-10,0.31708,0.32452,0.30915,0.3225
2023-01-11,0.3225,0.32287,0.30871,0.32275
2023-01-12,0.32749,0.33377,0.31824,0.32976
2023-01-13,0.32976,0.34931,0.32476,0.34577
2023-01-14,0.34574,0.36904,0.34306,0.35255
2023-01-15,0.35262,0.35319,0.33998,0.35037
2023-01-16,0.35042,0.36275,0.34066,0.35004
2023-01-17,0.35009,0.35601,0.34574,0.34576
2023-01-18,0.34577,0.35461,0.32683,0.32684
2023-01-19,0.32684,0.34255,0.32675,0.3391
2023-01-20,0.33905,0.36476,0.3347,0.36459
2023-01-21,0.36459,0.37942,0.35916,0.36903
2023-01-22,0.36903,0.38553,0.364,0.37659
2023-01-23,0.37659,0.38236,0.37102,0.3755
2023-01-24,0.37539,0.3825,0.35829,0.3593
2023-01-25,0.35934,0.37856,0.34841,0.37341
2023-01-26,0.37329,0.3866,0.37223,0.38006
2023-01-27,0.38006,0.38929,0.37054,0.38898
2023-01-28,0.38899,0.39722,0.37973,0.38235
2023-01-29,0.38235,0.39867,0.37823,0.39631
2023-01-30,0.39667,0.39761,0.36859,0.37251
2023-01-31,0.37255,0.39657,0.36942,0.39093
2023-02-01,0.39086,0.40106,0.37272,0.39724
2023-02-02,0.39719,0.41293,0.39566,0.39756
2023-02-03,0.3975,0.40644,0.39678,0.40434
2023-02-04,0.40423,0.40523,0.39833,0.39973
2023-02-05,0.39973,0.40169,0.38434,0.39247
2023-02-06,0.39248,0.40242,0.3816,0.38242
2023-02-07,0.38246,0.39927,0.38238,0.39921
2023-02-08,0.39921,0.40223,0.38712,0.39403
2023-02-09,0.39407,0.39524,0.35894,0.36253
2023-02-10,0.36246,0.36543,0.35579,0.35864
2023-02-11,0.35866,0.36987,0.35778,0.3692
2023-02-12,0.36917,0.37365,0.36106,0.3643
2023-02-13,0.36429,0.36553,0.3469,0.35963
2023-02-14,0.35957,0.39214,0.35539,0.38644
2023-02-15,0.38648,0.41811,0.38258,0.41811
2023-02-16,0.41806,0.41918,0.38769,0.3879
2023-02-17,0.38786,0.40934,0.38705,0.40394
2023-02-18,0.40393,0.41595,0.39847,0.40633
2023-02-19,0.40631,0.41163,0.39907,0.40011
2023-02-20,0.40015,0.40923,0.39204,0.404
2023-02-21,0.40404,0.40549,0.38779,0.39242
2023-02-22,0.39244,0.39272,0.37883,0.38892
2023-02-23,0.38893,0.39463,0.3808,0.38302
2023-02-24,0.38298,0.3849,0.35981,0.36582
2023-02-25,0.36584,0.36733,0.35388,0.36236
2023-02-26,0.36239,0.36981,0.35848,0.36897
2023-02-27,0.36894,0.36989,0.35881,0.3649
2023-02-28,0.36489,0.36761,0.34969,0.35245
2023-03-01,0.35253,0.36367,0.35051,0.36036
2023-03-02,0.36037,0.36109,0.34598,0.35021
2023-03-03,0.35026,0.35068,0.32762,0.34274
2023-03-04,0.34275,0.34434,0.33173,0.3365
2023-03-05,0.33649,0.34251,0.33532,0.3371
2023-03-06,0.3371,0.33841,0.33041,0.33082
2023-03-07,0.33086,0.3345,0.32305,0.33048
2023-03-08,0.33047,0.33241,0.31566,0.31758
